boro,gx,gy,lat,lon,total_count,early_count,recent_count,early_rate,recent_rate,rate_diff,years_active,years_ge3,precinct,loc_class,late_share,street_share,housing_share,recent_rank_boro,emerging_rank_boro,persistent_score,persistent_rank_boro,fading_rank_boro,view
BRONX,1,38,40.82407291516129,-73.90427414612903,31,14,1,2.3333333333333335,0.3333333333333333,-2.0,15,4,42,HOUSING,58.06451612903226,0.0,100.0,261.0,602.0,37.46573590279973,17.0,7.0,Persistent hotspots
BRONX,20,66,40.88712671354839,-73.84739631870968,31,10,8,1.6666666666666667,2.6666666666666665,0.9999999999999998,15,4,47,STREET,51.61290322580645,77.41935483870968,19.35483870967742,7.0,27.0,37.46573590279973,18.0,581.0,Persistent hotspots
BRONX,14,38,40.82339231586207,-73.86538838103448,29,6,2,1.0,0.6666666666666666,-0.33333333333333337,15,4,43,HOUSING,55.172413793103445,3.4482758620689653,96.55172413793103,181.0,428.0,37.40119738166216,20.0,181.0,Persistent hotspots
BRONX,5,52,40.85547607034483,-73.89249928965516,29,11,2,1.8333333333333333,0.6666666666666666,-1.1666666666666665,15,4,48,STREET,62.06896551724138,89.65517241379311,0.0,157.0,579.0,37.40119738166216,19.0,30.0,Persistent hotspots
BRONX,0,43,40.835242176428565,-73.90818461571429,28,10,6,1.6666666666666667,2.0,0.33333333333333326,15,4,42,HOUSING,60.71428571428571,35.714285714285715,57.14285714285714,13.0,111.0,37.367295829986475,21.0,496.0,Persistent hotspots
BRONX,6,42,40.83280793666667,-73.8892072157143,21,7,4,1.1666666666666667,1.3333333333333333,0.16666666666666652,17,0,42,HOUSING,47.61904761904761,38.095238095238095,47.61904761904761,47.0,169.0,37.09104245335831,22.0,439.0,Persistent hotspots
BRONX,0,34,40.81583010193548,-73.90778465193549,31,11,7,1.8333333333333333,2.3333333333333335,0.5000000000000002,14,5,40,HOUSING,45.16129032258064,29.03225806451613,58.06451612903226,9.0,55.0,36.46573590279973,23.0,554.0,Persistent hotspots
BRONX,-2,41,40.83062819,-73.91389867172414,29,12,1,2.0,0.3333333333333333,-1.6666666666666667,15,3,44,STREET,58.620689655172406,75.86206896551724,10.344827586206897,241.0,598.0,36.40119738166216,24.0,10.0,Persistent hotspots
BRONX,8,51,40.853529081851846,-73.8838674637037,27,9,4,1.5,1.3333333333333333,-0.16666666666666674,14,5,48,STREET,44.44444444444444,85.18518518518519,0.0,50.0,339.0,36.3322045101752,25.0,275.0,Persistent hotspots
BRONX,16,66,40.887228738,-73.8602492296,25,15,0,2.5,0.0,-2.5,12,3,47,STREET,60.0,76.0,0.0,545.0,607.0,30.258096538021483,67.0,1.0,Fading hotspots
BRONX,-2,42,40.833166438000006,-73.91325165200001,25,14,0,2.3333333333333335,0.0,-2.3333333333333335,14,2,44,STREET,44.0,96.0,0.0,415.0,606.0,33.25809653802148,38.0,2.0,Fading hotspots
BRONX,-3,38,40.82391704914286,-73.91692550342857,35,16,1,2.6666666666666665,0.3333333333333333,-2.333333333333333,16,6,44,HOUSING,45.714285714285715,17.142857142857142,65.71428571428571,232.0,605.0,41.58351893845611,8.0,3.0,Fading hotspots
BRONX,-5,34,40.81455622558139,-73.92256885139535,43,23,5,3.8333333333333335,1.6666666666666667,-2.166666666666667,17,8,40,HOUSING,67.44186046511628,18.6046511627907,76.74418604651163,18.0,604.0,45.78418963391826,1.0,4.0,Fading hotspots
BRONX,2,37,40.82238133956522,-73.9008764373913,23,13,0,2.1666666666666665,0.0,-2.1666666666666665,12,3,42,STREET,65.21739130434783,91.30434782608695,0.0,439.0,603.0,30.178053830347945,69.0,5.0,Fading hotspots
BRONX,1,38,40.82407291516129,-73.90427414612903,31,14,1,2.3333333333333335,0.3333333333333333,-2.0,15,4,42,HOUSING,58.06451612903226,0.0,100.0,261.0,602.0,37.46573590279973,17.0,7.0,Fading hotspots
BRONX,-3,43,40.83518776666667,-73.91658619291667,24,12,0,2.0,0.0,-2.0,11,4,44,STREET,58.333333333333336,75.0,0.0,409.0,601.0,29.2188758248682,79.0,6.0,Fading hotspots
BRONX,-3,30,40.80569795583334,-73.91646105750002,24,11,0,1.8333333333333333,0.0,-1.8333333333333333,13,3,40,HOUSING,58.333333333333336,29.166666666666668,66.66666666666666,407.0,599.0,32.2188758248682,42.0,8.0,Fading hotspots
BRONX,7,43,40.83575374678571,-73.88676121928572,28,11,0,1.8333333333333333,0.0,-1.8333333333333333,14,4,42,STREET,60.71428571428571,82.14285714285714,7.142857142857142,474.0,600.0,35.367295829986475,30.0,9.0,Fading hotspots
BRONX,-2,41,40.83062819,-73.91389867172414,29,12,1,2.0,0.3333333333333333,-1.6666666666666667,15,3,44,STREET,58.620689655172406,75.86206896551724,10.344827586206897,241.0,598.0,36.40119738166216,24.0,10.0,Fading hotspots
BRONX,10,39,40.82677776769231,-73.87831300538461,26,16,3,2.6666666666666665,1.0,-1.6666666666666665,13,3,43,STREET,57.692307692307686,96.15384615384616,0.0,100.0,597.0,32.29583686600433,41.0,11.0,Fading hotspots
BRONX,4,53,40.85771287894737,-73.89573594368422,19,11,1,1.8333333333333333,0.3333333333333333,-1.5,12,1,46,STREET,57.89473684210527,78.94736842105263,0.0,287.0,594.0,27.99573227355399,96.0,12.0,Fading hotspots
BRONX,6,47,40.844962998947366,-73.88967855210527,19,11,1,1.8333333333333333,0.3333333333333333,-1.5,11,1,48,STREET,57.89473684210527,78.94736842105263,0.0,298.0,595.0,25.99573227355399,122.0,13.0,Fading hotspots
BRONX,14,44,40.837778355,-73.866534945,20,9,0,1.5,0.0,-1.5,12,1,43,STREET,70.0,90.0,0.0,518.0,596.0,28.044522437723423,95.0,14.0,Fading hotspots
BRONX,-4,36,40.8195528768421,-73.91894436894738,19,10,1,1.6666666666666667,0.3333333333333333,-1.3333333333333335,10,2,40,HOUSING,57.89473684210527,36.84210526315789,57.89473684210527,226.0,591.0,24.99573227355399,137.0,15.0,Fading hotspots
BRONX,9,40,40.82847901833333,-73.8805813175,12,10,1,1.6666666666666667,0.3333333333333333,-1.3333333333333335,7,1,43,STREET,66.66666666666666,100.0,0.0,311.0,593.0,17.564949357461536,268.0,17.0,Fading hotspots
BRONX,-1,49,40.8489199145,-73.909985617,20,10,1,1.6666666666666667,0.3333333333333333,-1.3333333333333335,13,1,46,STREET,65.0,90.0,0.0,247.0,592.0,30.044522437723423,71.0,16.0,Fading hotspots
BRONX,4,41,40.83089822588235,-73.89643289764706,17,8,0,1.3333333333333333,0.0,-1.3333333333333333,11,1,42,STREET,70.58823529411765,94.11764705882352,0.0,454.0,589.0,25.890371757896165,124.0,19.0,Fading hotspots
BRONX,-6,31,40.808560393200004,-73.92538447640001,25,8,0,1.3333333333333333,0.0,-1.3333333333333333,16,3,40,HOUSING,48.0,16.0,80.0,388.0,588.0,38.25809653802148,16.0,18.0,Fading hotspots
BRONX,8,50,40.85134890681818,-73.88433283227273,22,8,0,1.3333333333333333,0.0,-1.3333333333333333,11,2,48,STREET,36.36363636363637,95.45454545454545,0.0,485.0,590.0,27.13549421592915,105.0,20.0,Fading hotspots
BRONX,-2,51,40.85284294631579,-73.91400107578947,19,9,1,1.5,0.3333333333333333,-1.1666666666666667,14,1,46,STREET,73.68421052631578,68.42105263157895,15.789473684210526,243.0,581.0,31.99573227355399,50.0,22.0,Fading hotspots
BRONX,13,57,40.86697611428571,-73.86874485238096,21,9,1,1.5,0.3333333333333333,-1.1666666666666667,11,3,49,STREET,71.42857142857143,71.42857142857143,19.047619047619047,329.0,585.0,28.091042453358316,94.0,26.0,Fading hotspots
BRONX,5,52,40.85547607034483,-73.89249928965516,29,11,2,1.8333333333333333,0.6666666666666666,-1.1666666666666665,15,4,48,STREET,62.06896551724138,89.65517241379311,0.0,157.0,579.0,37.40119738166216,19.0,30.0,Fading hotspots
BRONX,-2,31,40.8083913465625,-73.91376765656251,32,13,3,2.1666666666666665,1.0,-1.1666666666666665,16,4,40,STREET,53.125,93.75,0.0,65.0,578.0,39.49650756146648,13.0,29.0,Fading hotspots
BRONX,6,52,40.855816126,-73.889747362,25,10,2,1.6666666666666667,0.6666666666666666,-1.0,13,2,48,STREET,44.0,88.0,0.0,162.0,567.0,31.258096538021483,54.0,45.0,Fading hotspots
BROOKLYN,9,-30,40.67137368069768,-73.88169630906977,43,8,20,1.3333333333333333,6.666666666666667,5.333333333333334,16,5,75,STREET,46.51162790697674,79.06976744186046,2.3255813953488373,1.0,1.0,40.78418963391826,22.0,827.0,Recent hotspots
BROOKLYN,-2,-30,40.67123058928571,-73.91369273142857,42,10,19,1.6666666666666667,6.333333333333333,4.666666666666666,17,5,73,STREET,59.523809523809526,64.28571428571429,11.904761904761903,2.0,2.0,42.76120011569356,14.0,826.0,Recent hotspots
BROOKLYN,-15,-40,40.6488458604,-73.95113889480001,25,10,9,1.6666666666666667,3.0,1.3333333333333333,12,3,67,STREET,52.0,88.0,0.0,3.0,7.0,30.258096538021483,89.0,821.0,Recent hotspots
BROOKLYN,-6,-30,40.67111310673077,-73.92591164807693,52,21,9,3.5,3.0,-0.5,18,8,77,STREET,44.230769230769226,69.23076923076923,15.384615384615385,4.0,517.0,47.970291913552124,4.0,309.0,Recent hotspots
BROOKLYN,-6,-22,40.689268606666666,-73.92469606969698,33,10,8,1.6666666666666667,2.6666666666666665,0.9999999999999998,13,6,81,STREET,51.515151515151516,72.72727272727273,0.0,5.0,14.0,35.52636052461616,45.0,814.0,Recent hotspots
BROOKLYN,-3,-35,40.66000892541667,-73.91672144208334,24,5,8,0.8333333333333334,2.6666666666666665,1.833333333333333,14,2,73,STREET,41.66666666666667,79.16666666666666,4.166666666666666,6.0,5.0,33.2188758248682,61.0,823.0,Recent hotspots
